food_id,food_name,state,region,description,veg_nonveg,taste,course_type,image_filename,texture
NI_HP_005,Mittha,Himachal Pradesh,North India,"Sweet rice preparation layered with dry fruits, sugar, and saffron-infused milk, commonly prepared during celebrations.",vegetarian,sweet,dessert,NI_HP_Mittha_005.jpg,solid_sweet
NI_HP_006,Dham,Himachal Pradesh,North India,"A complete ceremonial meal consisting of rice, lentils, rajma, curd-based curries, and a sweet dish.",vegetarian,sweet,main course,NI_HP_Dham_006.jpg,multi_course_meal
NI_HP_007,Chha Gosht,Himachal Pradesh,North India,"Yogurt-based mutton curry slow-cooked with gram flour and spices, resulting in a rich and creamy gravy.",meat-based,savoury,main course,NI_HP_ChhaGhost_007.jpg,meat_gravy
NI_HP_008,Siddu,Himachal Pradesh,North India,"Steamed and fermented wheat flour bread, often stuffed and served with ghee or chutney.",vegetarian,tangy,main course,NI_HP_Siddu_008.jpg,steamed_food
NI_HP_009,Babru,Himachal Pradesh,North India,"Deep-fried stuffed flatbread filled with black gram paste, traditionally served with chutney.",vegetarian,tangy,main course,NI_HP_Babru_009.jpg,flatbread
NI_HP_010,Tudkiya Bhat,Himachal Pradesh,North India,"Spiced rice dish cooked with lentils, yogurt, and aromatic spices, often described as a mountain-style pulao.",vegetarian,savoury,main course,NI_HP_TudkiyaBhat_010.jpg,rice_based
NI_PB_001,Dal Makhani,Punjab,North India,"Rich and creamy lentil dish prepared using whole black gram and kidney beans, slow-cooked with butter and cream.",vegetarian,savoury,main course,NI_PB_DalMakhani_001.jpg,veg_gravy
NI_PB_002,Chole Bhature,Punjab,North India,"Spicy chickpea curry served with fluffy deep-fried bread, commonly eaten as a hearty breakfast.",vegetarian,spicy,main course,NI_PB_CholeBhature_002.jpg,veg_gravy
NI_PB_003,Tandoori Chicken,Punjab,North India,"Marinated chicken cooked in a clay oven, producing smoky flavors and a charred exterior.",meat-based,savoury,main course,NI_PB_TandooriChicken_003.jpg,smoked_meat
NI_PB_004,Paneer Tikka,Punjab,North India,"Marinated paneer cubes grilled in a tandoor, forming a popular vegetarian appetizer.",vegetarian,savoury,main course,NI_PB_PaneerTikka_004.jpg,smoked_veg
NI_PB_005,Kadhi Pakora,Punjab,North India,Yogurt-based curry thickened with gram flour and containing fried pakoras.,vegetarian,savoury,main course,NI_PB_KadhiPakora_005.jpg,veg_gravy
NI_PB_006,Sarson da Saag,Punjab,North India,"Winter dish made from mustard greens slow-cooked with spices, traditionally served with makki di roti.",vegetarian,savoury,main course,NI_PB_SarsonDaSaag_006.jpg,veg_gravy
NI_PB_007,Makki di Roti,Punjab,North India,"Cornmeal flatbread with a rustic texture, typically paired with sarson da saag.",vegetarian,savoury,main course,NI_PB_MakkiDiRoti_007.jpg,flatbread
NI_PB_008,Butter Chicken,Punjab,North India,Chicken cooked in a creamy tomato-based gravy with butter and mild spices.,meat-based,savoury,main course,NI_PB_ButterChicken_008.jpg,meat_gravy
NI_PB_009,Amritsari Kulcha,Punjab,North India,"Stuffed leavened flatbread originating from Amritsar, cooked in a tandoor.",vegetarian,savoury,main course,NI_PB_AmritsariKulcha_009.jpg,flatbread
NI_PB_010,Lassi,Punjab,North India,Yogurt-based beverage available in sweet or salted varieties.,vegetarian,sweet,beverage,NI_PB_Lassi_010.jpg,beverage
NI_HR_001,Besan Masala Roti,Haryana,North India,"Flatbread prepared using gram flour and spices, commonly eaten as a staple meal.",vegetarian,spicy,main course,NI_HR_BesanMasalaRoti_001.jpg,flatbread
NI_HR_002,Churma,Haryana,North India,Dish made from crushed wheat mixed with ghee and jaggery or sugar.,vegetarian,sweet,main course,NI_HR_Churma_002.jpg,solid_sweet
NI_HR_003,Bathua Raita,Haryana,North India,Yogurt-based side dish prepared using bathua leaves.,vegetarian,savoury,main course,NI_HR_BathuaRaita_003.jpg,veg_gravy
NI_HR_004,Malpua,Haryana,North India,Sweet deep-fried pancake soaked in sugar syrup.,vegetarian,sweet,dessert,NI_HR_Malpua_004.jpg,solid_sweet
NI_HR_005,Mixed Dal,Haryana,North India,Protein-rich dish prepared using a combination of lentils.,vegetarian,savoury,main course,NI_HR_MixedDal_005.jpg,veg_gravy
NI_HR_006,Bajra Khichdi,Haryana,North India,Hearty porridge made from pearl millet and lentils.,vegetarian,savoury,main course,NI_HR_BajraKhichdi_006.jpg,mixed_bowl
NI_HR_007,Hara Choliya Sabzi,Haryana,North India,Seasonal curry prepared using fresh green chickpeas.,vegetarian,savoury,main course,NI_HR_HaraCholiyaSabzi_007.jpg,veg_gravy
NI_HR_008,Kachri ki Chutney,Haryana,North India,Tangy chutney prepared from dried wild cucumbers.,vegetarian,tangy,main course,NI_HR_KachriKiChutney_008.jpg,chutney
NI_HR_009,Bajra Roti with Ghee,Haryana,North India,Pearl millet flatbread served with clarified butter.,vegetarian,savoury,main course,NI_HR_BajraRotiWithGhee_009.jpg,flatbread
NI_HR_010,Singri ki Sabzi,Haryana,North India,Dry curry prepared from dried desert beans.,vegetarian,savoury,main course,NI_HR_SinghriSabzi_010.jpg,veg_gravy
NI_UK_001,Dubuk,Uttarakhand,North India,"Thick curry made from soaked and ground pulses, commonly eaten with rice.",vegetarian,savoury,main course,NI_UK_Dubuk_001.jpg,veg_gravy
NI_UK_002,Garhwal Ka Fannah,Uttarakhand,North India,Protein-rich curry made from black gram lentils.,vegetarian,savoury,main course,NI_UK_GarhwalKaFannah_002.jpg,veg_gravy
NI_UK_003,Bhaadi,Uttarakhand,North India,Staple dish made from finger millet flour cooked with water and ghee.,vegetarian,savoury,main course,NI_UK_Bhaadi_003.jpg,flatbread
NI_UK_004,Phaana,Uttarakhand,North India,Thick curry prepared from ground horse gram lentils.,vegetarian,savoury,main course,NI_UK_Phaanu_004.jpg,veg_gravy
NI_UK_005,Kafuli,Uttarakhand,North India,Green curry made from spinach or fenugreek leaves with buttermilk.,vegetarian,tangy,main course,NI_UK_Kafuli_005.jpg,veg_gravy
NI_UK_006,Aloo Ke Gutke,Uttarakhand,North India,Spiced boiled potatoes cooked with local mustard seeds.,vegetarian,savoury,main course,NI_UK_AlooKeGutke_006.jpg,dry_food
NI_UK_007,Chainsoo,Uttarakhand,North India,Curry made from roasted black gram paste with earthy flavor.,vegetarian,savoury,main course,NI_UK_Chainsoo_007.jpg,veg_gravy
NI_UK_008,Bhang ki Chutney,Uttarakhand,North India,Chutney prepared from roasted hemp seeds.,vegetarian,tangy,main course,NI_UK_BhangKiChutney_008.jpg,chutney
NI_UK_009,Jhangora ki Kheer,Uttarakhand,North India,Sweet pudding made from barnyard millet cooked in milk.,vegetarian,sweet,dessert,NI_UK_JhangoraKiKheer_009.jpg,liquid_dessert
NI_UK_010,Bal Mithai,Uttarakhand,North India,Traditional sweet made from roasted khoya and sugar balls.,vegetarian,sweet,dessert,NI_UK_BalMithai_010.jpg,solid_sweet
NI_DL_001,Butter Chicken,Delhi,North India,Roasted chicken cooked in a rich tomato-based gravy with butter and cream.,meat-based,savoury,main course,NI_DL_ButterChicken_001.jpg,meat_gravy
NI_DL_002,Chole Bhature,Delhi,North India,Spicy chickpea curry served with deep-fried bread.,vegetarian,spicy,main course,NI_DL_CholeBhature_002.jpg,veg_gravy
NI_DL_003,Dal Makhani,Delhi,North India,Creamy lentil dish slow-cooked with butter and mild spices.,vegetarian,savoury,main course,NI_DL_DalMakhani_003.jpg,veg_gravy
NI_DL_004,Kebabs,Delhi,North India,Mughlai-style grilled meat preparations with smoky flavors.,meat-based,savoury,main course,NI_DL_Kebabs_004.jpg,smoked_meat
NI_DL_005,Nihari,Delhi,North India,Slow-cooked meat stew prepared with rich spices.,meat-based,savoury,main course,NI_DL_Nihari_005.jpg,meat_gravy
NI_DL_006,Parathas,Delhi,North India,Stuffed unleavened flatbreads served with various fillings.,vegetarian,savoury,main course,NI_DL_Parathas_006.jpg,flatbread
NI_DL_007,Kulfi,Delhi,North India,Dense frozen dessert made by slow reduction of milk.,vegetarian,sweet,dessert,NI_DL_Kulfi_007.jpg,solid_sweet
NI_DL_008,Samosas,Delhi,North India,Deep-fried pastries filled with spiced potatoes or meat.,meat-based,savoury,snack,NI_DL_Samosas_008.jpg,fried_food
NI_DL_009,Jalebi,Delhi,North India,Deep-fried spiral-shaped sweet soaked in sugar syrup.,vegetarian,sweet,dessert,NI_DL_Jalebi_009.jpg,solid_sweet
NI_DL_010,Dal Tadka,Delhi,North India,"Cooked lentils tempered with ghee, garlic, and spices.",vegetarian,savoury,main course,NI_DL_DalTadka_010.jpg,veg_gravy
EI_WB_001,Macher Jhol,West Bengal,East India,"Light fish curry prepared with mustard and turmeric, featuring fish cooked in a mustard-based gravy with spices.",meat-based,savoury,main course,EL_WB_MacherJhol_001.jpg,meat_gravy
EI_WB_002,Rosogolla,West Bengal,East India,"Soft spongy cheese balls soaked in sugar syrup, made from chhena and cooked in aromatic syrup.",vegetarian,sweet,dessert,EL_WB_Rosogolla_002.jpg,solid_sweet
EI_WB_003,Mishti Doi,West Bengal,East India,"Sweetened fermented yogurt with a rich, creamy texture and caramelized flavor.",vegetarian,sweet,dessert,EL_WB_MishtiDoi_003.jpg,solid_sweet
EI_WB_004,Shukto,West Bengal,East India,Traditional mixed vegetable bitter curry prepared with vegetables in a mildly spiced gravy.,vegetarian,savoury,main course,EL_WB_Shukto_004.jpg,veg_gravy
EI_WB_005,Pati Shapta,West Bengal,East India,Thin pancakes stuffed with sweet coconut and khoya filling.,vegetarian,sweet,dessert,EL_WB_PatiShapta_005.jpg,pancake
EI_WB_006,Alur Dom,West Bengal,East India,"Baby potato curry cooked in a spiced gravy, often served with fried bread.",vegetarian,savoury,main course,EL_WB_AlurDom_006.jpg,veg_gravy
EI_WB_007,Sandesh,West Bengal,East India,Sweet made from fresh paneer and sugar with a soft texture.,vegetarian,sweet,dessert,EL_WB_Sandesh_007.jpg,solid_sweet
EI_WB_008,Lau Ghonto,West Bengal,East India,Bottle gourd dish cooked with spices and grated coconut.,vegetarian,savoury,main course,EL_WB_LauGhonto_008.jpg,semi_gravy
EI_WB_009,Luchi,West Bengal,East India,Deep-fried flatbread made from refined flour.,vegetarian,savoury,main course,EL_WB_Luchi_009.jpg,flatbread
EI_WB_010,Chingri Malai Curry,West Bengal,East India,Mildly spiced prawn curry cooked in coconut milk.,meat-based,savoury,main course,EL_WB_ChingriMalaiCurry_010.jpg,meat_gravy
EI_OD_001,Machher Paturi,Odisha,East India,"Fish marinated with mustard paste and spices, wrapped in banana leaves and cooked.",meat-based,savoury,main course,EL_OD_MachhaPaturi_001.jpg,steamed_food
EI_OD_002,Dalma,Odisha,East India,Lentils cooked with vegetables and mild spices.,vegetarian,savoury,main course,EL_OD_Dalma_002.jpg,veg_gravy
EI_OD_003,Pakhala Bhata,Odisha,East India,Fermented rice served with vegetables.,vegetarian,savoury,main course,EL_OD_PakhalaBhata_003.jpg,rice_based
EI_OD_004,Rasabali,Odisha,East India,Sweet chhena patties soaked in thickened sweetened milk.,vegetarian,sweet,dessert,EL_OD_Rasabali_004.jpg,solid_sweet
EI_OD_005,Chhena Poda,Odisha,East India,Baked sweet cheese dessert made from chhena.,vegetarian,sweet,dessert,EL_OD_ChhenaPoda_005.jpg,solid_sweet
EI_OD_006,Khichdi,Odisha,East India,Rice and lentil dish cooked together and offered as temple food.,vegetarian,savoury,main course,EL_OD_Khichdi_006.jpg,mixed_bowl
EI_OD_007,Besara,Odisha,East India,Vegetable curry prepared using mustard paste.,vegetarian,savoury,main course,EL_OD_Besara_007.jpg,veg_gravy
EI_OD_008,Chhena Jhili,Odisha,East India,Fried chhena dessert soaked in sugar syrup.,vegetarian,sweet,dessert,EL_OD_ChhenaJhil_008.jpg,solid_sweet
EI_OD_009,Mudhi Mansa,Odisha,East India,Puffed rice served with mutton curry.,meat-based,savoury,main course,EL_OD_MudhiMansa_009.jpg,veg_gravy
EI_OD_010,Kadali Manja Rai,Odisha,East India,Banana stem curry cooked with mustard paste.,vegetarian,savoury,main course,EL_OD_KadaliManjaRai_010.jpg,veg_gravy
EI_BR_001,Khichdi,Bihar,East India,Rice and lentil porridge cooked together.,vegetarian,savoury,main course,EL_BR_Khichdi_001.jpg,mixed_bowl
EI_BR_002,Litti Chokha,Bihar,East India,Roasted wheat balls stuffed with sattu served with mashed vegetables.,vegetarian,savoury,main course,EL_BR_LittiChokha_002.jpg,flour_ball
EI_BR_003,Thekua,Bihar,East India,Deep-fried wheat snack sweetened with jaggery.,vegetarian,sweet,snack,EL_BR_Thekua_003.jpg,fried_food
EI_BR_004,Malpua,Bihar,East India,Sweet pancakes fried and soaked in sugar syrup.,vegetarian,sweet,dessert,EL_BR_Malpua_004.jpg,solid_sweet
EI_BR_005,Dal Pitha,Bihar,East India,Steamed rice flour dumplings stuffed with spiced lentils.,vegetarian,savoury,main course,EL_BR_DalPitha_005.jpg,steamed_food
EI_BR_006,Sattu Paratha,Bihar,East India,Flatbread stuffed with roasted gram flour.,vegetarian,savoury,main course,EL_BR_SattuParatha_006.jpg,flatbread
EI_BR_007,Balushahi,Bihar,East India,Flaky deep-fried dessert soaked in sugar syrup.,vegetarian,sweet,dessert,EL_BR_Balushahi_007.jpg,solid_sweet
EI_BR_008,Chana Ghugni,Bihar,East India,Spicy street food made from black gram or chickpeas.,vegetarian,spicy,main course,EL_BR_ChanaGhugni_008.jpg,fried_food
EI_BR_009,Kadhi Badi,Bihar,East India,Yogurt-based curry cooked with lentil fritters.,vegetarian,savoury,main course,EL_BR_KadhiBadi_009.jpg,veg_gravy
EI_BR_010,Mutton Taash,Bihar,East India,Slow-cooked fried mutton dish.,meat-based,savoury,main course,EL_BR_MuttonTaash_010.jpg,meat_gravy
NE_AS_001,Assam Laksa,Assam,North-East India,Light clear soup prepared from flaked fish and simmered with tamarind.,meat-based,tangy,main course,NE_AS_AssamLaksa_001.jpg,soup
NE_AS_002,Masor Tenga,Assam,North-East India,Tangy fish curry cooked with tomatoes and lemon.,meat-based,tangy,main course,NE_AS_MasorTenga_002.jpg,meat_gravy
NE_AS_003,Khar,Assam,North-East India,Alkaline vegetable preparation using banana stem ash water.,vegetarian,savoury,main course,NE_AS_Khar_003.jpg,semi_gravy
NE_AS_004,Pitha,Assam,North-East India,Rice cakes with sweet or savory fillings.,vegetarian,sweet,dessert,NE_AS_Pitha_004.jpg,solid_sweet
NE_AS_005,Duck Curry,Assam,North-East India,Slow-cooked duck curry with seasonal vegetables.,meat-based,savoury,main course,NE_AS_DuckCurry_005.jpg,veg_gravy
NE_AS_006,Aloo Pitika,Assam,North-East India,"Mashed potatoes mixed with onions, chilies, and mustard oil.",vegetarian,spicy,main course,NE_AS_AlooPitika_006.jpg,chutney
NE_AS_007,Doi Chira,Assam,North-East India,Beaten rice mixed with yogurt and jaggery.,vegetarian,sweet,dessert,NE_AS_DoiChira_007.jpg,solid_sweet
NE_AS_008,Lai Xaak Gahori,Assam,North-East India,Oil-free pork dish cooked with leafy greens.,meat-based,savoury,main course,NE_AS_LaiXaakGahori_008.jpg,semi_gravy
NE_AS_009,Patot Diya Maas,Assam,North-East India,Fish wrapped in banana leaves and cooked.,meat-based,savoury,main course,NE_AS_PatotDiyaMaas_009.jpg,steamed_food
NE_AS_010,Poita Bhat,Assam,North-East India,Fermented rice soaked overnight.,vegetarian,savoury,main course,NE_AS_PoitaBhat_010.jpg,rice_based
NE_ML_001,Jadoh,Meghalaya,North-East India,Spiced rice and pork dish.,meat-based,savoury,main course,NE_ML_Jadoh_001.jpg,meat_gravy
NE_ML_002,Tungrymbai,Meghalaya,North-East India,Fermented soybean curry.,vegetarian,savoury,main course,NE_ML_Tungrymbai_002.jpg,veg_gravy
NE_ML_003,Dohneiiong,Meghalaya,North-East India,Black sesame pork curry.,meat-based,savoury,main course,NE_ML_Dohneiiong_003.jpg,meat_gravy
NE_ML_004,Nakham Bitchi,Meghalaya,North-East India,Bamboo shoot and meat soup.,meat-based,savoury,main course,NE_ML_NakhamBitchi_004.jpg,soup
NE_ML_005,Tungtap,Meghalaya,North-East India,Fermented fish paste.,meat-based,savoury,main course,NE_ML_Tungtap_005.jpg,chutney
NE_ML_006,Pukhlein,Meghalaya,North-East India,Sweet fried rice flour snack.,vegetarian,sweet,snack,NE_ML_Pukhlein_006.jpg,solid_sweet
NE_ML_007,Sakin Gata,Meghalaya,North-East India,Sticky rice cake with jaggery.,vegetarian,sweet,dessert,NE_ML_SakinGata_007.jpg,solid_sweet
NE_ML_008,Dohkhlieh,Meghalaya,North-East India,Fresh pork salad.,meat-based,savoury,main course,NE_ML_Dohkhleh_008.jpg,salad
NE_ML_009,Pumaloi,Meghalaya,North-East India,Steamed rice cake.,vegetarian,sweet,dessert,NE_ML_Pumaloi_009.jpg,solid_sweet
NE_ML_010,Kyat,Meghalaya,North-East India,Fermented rice drink.,vegetarian,savoury,beverage,NE_ML_Kyat_010.jpg,beverage
NE_MN_001,Eromba,Manipur,North-East India,Mashed vegetables with fermented fish.,meat-based,savoury,main course,NE_MN_Eromba_001.jpg,eromba
NE_MN_002,Singju,Manipur,North-East India,Spicy raw vegetable salad.,vegetarian,spicy,main course,NE_MN_Singju_002.jpg,salad
NE_MN_003,Chamthong,Manipur,North-East India,Vegetable and meat stew.,meat-based,savoury,main course,NE_MN_Chamthong_003.jpg,meat_gravy
NE_MN_004,Nga Thongba,Manipur,North-East India,Fish curry with herbs.,meat-based,savoury,main course,NE_MN_NgaThongba_004.jpg,meat_gravy
NE_MN_005,Chak-hao Kheer,Manipur,North-East India,Black rice pudding.,vegetarian,sweet,dessert,NE_MN_Chak-haoKheer_005.jpg,liquid_dessert
NE_MN_006,Ngari,Manipur,North-East India,Fermented fish product.,meat-based,savoury,main course,NE_MN_Ngari_006.jpg,fermented
NE_MN_007,Ooti,Manipur,North-East India,Vegetable dish with fermented soybean.,vegetarian,savoury,main course,NE_MN_Ooti_007.jpg,veg_gravy
NE_MN_008,Paknam,Manipur,North-East India,Steamed lentil pancake.,vegetarian,savoury,snack,NE_MN_Paknam_008.jpg,pancake
NE_MN_009,Maroi Nganu,Manipur,North-East India,Spicy fermented fish chutney.,meat-based,tangy,main course,NE_MN_MaroiNganu_009.jpg,chutney
NE_MN_010,Kangshoi,Manipur,North-East India,Simple vegetable stew.,vegetarian,savoury,main course,NE_MN_Kangshoi_010.jpg,veg_gravy
NE_MZ_001,Vawksa Rep,Mizoram,North-East India,Smoked pork dish.,meat-based,savoury,main course,NE_MZ_VawksaRep_001.jpg,smoked_meat
NE_MZ_002,Sa-um,Mizoram,North-East India,Bamboo shoot dish with fermented pork fat.,meat-based,savoury,main course,NE_MZ_Sa-um_002.jpg,semi_gravy
NE_MZ_003,Bai,Mizoram,North-East India,Mixed vegetable stew.,vegetarian,savoury,main course,NE_MZ_Bai_003.jpg,veg_gravy
NE_MZ_004,Chhum Han,Mizoram,North-East India,Simple vegetable dish.,vegetarian,savoury,main course,NE_MZ_ChhumHan_004.jpg,veg_gravy
NE_MZ_005,Chhangban,Mizoram,North-East India,Sticky rice bread.,vegetarian,savoury,main course,NE_MZ_Chhangban_005.jpg,flatbread
NE_MZ_006,Sanpiau,Mizoram,North-East India,Rice porridge street food.,vegetarian,savoury,main course,NE_MZ_Sanpiau_006.jpg,rice_based
NE_MZ_007,Panch Phoron Tarka,Mizoram,North-East India,Vegetable dish with five spices.,vegetarian,savoury,main course,NE_MZ_PanchPhoronTarl_007.jpg,semi_gravy
NE_MZ_008,Koat Pitha,Mizoram,North-East India,Sweet fried rice snack.,vegetarian,sweet,snack,NE_MZ_KoatPitha_008.jpg,solid_sweet
NE_MZ_009,Sawhchiar,Mizoram,North-East India,Rice dish with meat.,meat-based,savoury,main course,NE_MZ_Sawhchiar_009.jpg,rice_based
NE_MZ_010,Bamboo Shoot Curry,Mizoram,North-East India,Fermented bamboo shoot curry.,vegetarian,savoury,main course,NE_MZ_BambooShootCurry_010.jpg,veg_gravy
NE_NL_001,Smoked Pork,Nagaland,North-East India,Smoked pork with bamboo shoots.,meat-based,savoury,main course,NE_NL_SmokedPork_001.jpg,smoked_meat
NE_NL_002,Galho,Nagaland,North-East India,Rice stew with vegetables and meat.,meat-based,savoury,main course,NE_NL_Galho_002.jpg,rice_based
NE_NL_003,Axone,Nagaland,North-East India,Fermented soybean dish.,vegetarian,savoury,main course,NE_NL_Axone_003.jpg,chutney
NE_NL_004,Anishi,Nagaland,North-East India,Fermented taro leaves paste.,vegetarian,savoury,main course,NE_NL_Anishi_004.jpg,chutney
NE_NL_005,Naga Pickled Pork,Nagaland,North-East India,Spicy preserved pork.,meat-based,tangy,main course,NE_NL_NagaPickledPork_005.jpg,pickle
NE_NL_006,Samathu,Nagaland,North-East India,Spicy pork curry.,meat-based,spicy,main course,NE_NL_Samathu_006.jpg,meat_gravy
NE_NL_007,Zutho,Nagaland,North-East India,Fermented rice beer.,vegetarian,savoury,beverage,NE_NL_Zutho_007.jpg,beverage
NE_NL_008,Akini Chokibo,Nagaland,North-East India,Fermented soybean with vegetables.,vegetarian,savoury,main course,NE_NL_AkiniChokibo_008.jpg,semi_gravy
NE_NL_009,Naga Chili,Nagaland,North-East India,Extremely spicy chili.,vegetarian,spicy,main course,NE_NL_NagaChili_009.jpg,ingredient
NE_NL_010,Fish Cooked in Bamboo,Nagaland,North-East India,Fish cooked in bamboo tubes.,meat-based,savoury,main course,NE_NL_FishCookedInBa_010.jpg,steamed_food
NE_TR_001,Mui Borok,Tripura,North-East India,Rice dumplings with fermented fish.,meat-based,savoury,main course,NE_TR_MuiBorok_001.jpg,steamed_food
NE_TR_002,Bamboo Shoot Curry,Tripura,North-East India,Bamboo shoot based curry.,vegetarian,savoury,main course,NE_TR_BambooShootCu_002.jpg,veg_gravy
NE_TR_003,Chakhwi,Tripura,North-East India,Vegetable dish with bamboo shoots.,vegetarian,savoury,main course,NE_TR_Chakhwi_003.jpg,semi_gravy
NE_TR_004,Wahan Mosdeng,Tripura,North-East India,Smoked fish chutney.,meat-based,tangy,main course,NE_TR_WahanMosdeng_004.jpg,chutney
NE_TR_005,Awti Bwtwi,Tripura,North-East India,Sticky rice dish wrapped in leaves.,vegetarian,savoury,main course,NE_TR_AwtiBwtwi_005.jpg,rice_based
NE_TR_006,Mosdeng,Tripura,North-East India,Spicy smoked meat preparation.,meat-based,spicy,main course,NE_TR_Mosdeng_006.jpg,smoked_meat
NE_TR_007,Gudok,Tripura,North-East India,Fermented fish with vegetables.,meat-based,savoury,main course,NE_TR_Gudok_007.jpg,semi_gravy
NE_TR_008,Kosoi Bwtwi,Tripura,North-East India,Bean and vegetable stew.,vegetarian,savoury,main course,NE_TR_KosoiBwtwi_008.jpg,semi_gravy
NE_TR_009,Bangui,Tripura,North-East India,Rice cooked in banana leaves.,vegetarian,savoury,main course,NE_TR_Bangui_009.jpg,rice_based
NE_TR_010,Moseng Serma,Tripura,North-East India,Mixed vegetable and meat dish.,meat-based,savoury,main course,NE_TR_MosengSerma_010.jpg,chutney
NE_AR_001,Thukpa,Arunachal Pradesh,North-East India,Noodle soup with vegetables or meat.,meat-based,savoury,main course,NE_AR_Thukpa_001.jpg,noodles
NE_AR_002,Apong,Arunachal Pradesh,North-East India,Fermented rice drink.,vegetarian,savoury,beverage,NE_AR_Apong_002.jpg,beverage
NE_AR_003,Thenthuk,Arunachal Pradesh,North-East India,Hand-pulled noodle soup.,vegetarian,savoury,main course,NE_AR_Thenthuk_003.jpg,soup
NE_AR_004,Zan,Arunachal Pradesh,North-East India,Millet porridge.,vegetarian,savoury,main course,NE_AR_Zan_004.jpg,mixed_bowl
NE_AR_005,Pika Pila,Arunachal Pradesh,North-East India,Fermented bamboo shoot and fish curry.,meat-based,savoury,main course,NE_AR_PikaPila_005.jpg,meat_gravy
NE_AR_006,Chura Sabzi,Arunachal Pradesh,North-East India,Fermented cheese curry.,vegetarian,savoury,main course,NE_AR_ChuraSabzi_006.jpg,veg_gravy
NE_AR_007,Lukter,Arunachal Pradesh,North-East India,Dry meat with chilies.,meat-based,spicy,main course,NE_AR_Lukter_007.jpg,dry_food
NE_AR_008,Pehak,Arunachal Pradesh,North-East India,Fermented soybean chutney.,vegetarian,tangy,main course,NE_AR_Pehak_008.jpg,chutney
NE_AR_009,Bresi,Arunachal Pradesh,North-East India,Meat and bamboo shoot stew.,meat-based,savoury,main course,NE_AR_Bresi_009.jpg,smoked_meat
